Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
sf,cvs,phission,phission/phission/base/src/ImagePPM.c,buggy,cpp,IssueFalse,42938,174,3398,2,7,10,8,6,6,8,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,9,8,8,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,9,8,9,5,6,7,5,5,5,3,4,3,3,3,3,4,4,3,3,4
sf,cvs,phission,phission/phission/base/src/phError.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,4,7,3,3,6,7,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,7,6,6,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,5,4,3,10,10,10,5,4,3,3,8,9,6,7,9,6,7,9,8,8
sf,cvs,phission,phission/phission/base/src/phImage.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,10,10,10,10,5,10,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,7,6,6,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,9,10,10,5,8,10,8,7,10,3,6,3,3,3,3,4,4,2,2,2
sf,cvs,phission,phission/phission/base/src/phImageWindow.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,7,9,9,9,4,9,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,7,6,6,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,7,7,9,3,5,7,6,6,8,2,6,10,9,8,3,4,4,6,5,5
sf,cvs,phission,phission/phission/base/src/phLiveObject.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,10,10,10,10,4,9,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,7,6,6,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,7,10,10,4,5,10,7,7,10,4,8,9,8,7,3,4,4,6,7,6
sf,cvs,phission,phission/phission/base/src/phSocket.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,10,10,10,10,4,9,7,7,9,8,9,10,8,9,9,9,9,9,10,9,9,8,9,10,8,7,7,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,9,9,10,5,7,10,7,8,10,2,4,3,3,3,3,4,4,2,2,2
sf,cvs,phission,phission/phission/base/src/phTimeStamp.cpp,clean,cpp,IssueFalse,42938,174,3398,2,6,8,5,9,5,5,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,7,6,6,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,3,4,7,3,3,7,3,3,5,3,6,10,8,7,10,8,8,9,9,8
sf,cvs,phission,phission/phission/capture/avcodec/src/phAvcodecSource.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,9,10,10,9,4,9,7,7,9,8,9,10,8,9,9,9,9,9,9,9,9,8,9,10,10,10,9,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,10,9,10,6,9,9,9,7,9,2,6,3,3,3,3,4,4,5,4,4
sf,cvs,phission,phission/phission/capture/net/src/phNetSource.cpp,buggy,cpp,IssueFalse,42938,174,3398,2,10,10,10,10,4,9,7,7,9,8,9,10,8,9,9,9,9,9,10,9,9,8,9,10,10,9,8,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,9,9,10,6,8,10,8,8,10,4,6,10,9,9,8,7,7,9,9,8
sf,cvs,phission,phission/phission/display/X11/src/phX11Util.cpp,clean,cpp,IssueFalse,42938,174,3398,2,10,10,10,10,4,10,7,7,9,8,9,10,8,9,9,9,9,9,9,10,10,8,9,10,10,10,10,9,9,9,6,6,9,6,6,9,10,10,10,8,8,9,10,10,10,7,10,10,7,9,10,2,6,3,3,3,3,4,4,2,2,2
