Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/buttonobject.cpp,buggy,cpp,IssueTrue,49866,81,2303,2,9,6,9,10,3,8,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,6,8,9,9,9,9,7,8,9,9,9,9,10,10,8,10,9,8,9,9
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/buttonobject.h,buggy,cpp,IssueTrue,49866,81,2303,2,3,5,4,2,9,3,10,10,10,10,10,9,10,10,10,9,9,9,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,2,2,2,1,1,2,1,2,2,7,5,4,4,6,5,5,6,3,5,6
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/buttonpreview.cpp,clean,cpp,IssueTrue,49866,81,2303,2,5,7,6,8,8,6,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,6,6,7,10,10,8,7,6,8,6,9,8,9,8,8,9,8,9,8,8
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/buttonpreview.h,clean,cpp,IssueTrue,49866,81,2303,2,2,1,2,2,8,3,10,10,10,10,10,8,9,10,9,10,10,10,9,8,8,10,10,8,10,9,9,10,10,10,10,10,9,8,8,8,10,10,10,10,10,10,2,2,2,1,1,2,1,2,2,3,5,5,5,4,7,6,6,4,4,3
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/cachethumbs.cpp,buggy,cpp,IssueTrue,49866,81,2303,2,8,7,9,9,4,6,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,6,6,8,4,4,7,8,6,9,2,8,8,6,6,4,4,4,6,4,3
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/dialogbutton.cpp,buggy,cpp,IssueTrue,49866,81,2303,2,8,9,9,9,7,10,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,8,8,9,3,4,6,8,10,9,9,10,8,8,10,7,8,8,8,8,9
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/dialogfiles.cpp,buggy,cpp,IssueTrue,49866,81,2303,2,10,10,10,10,4,10,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,7,9,10,9,9,10,9,10,10,7,9,3,3,3,4,4,4,1,1,1
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/dialogfiles.h,buggy,cpp,IssueTrue,49866,81,2303,2,5,4,6,3,5,3,10,10,10,8,10,10,7,10,10,9,10,10,9,10,10,8,10,10,9,10,10,9,10,10,9,10,10,8,9,10,10,10,10,9,10,10,3,3,2,1,1,2,2,3,2,6,5,8,8,8,5,6,6,7,7,7
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/dialogimages.cpp,buggy,cpp,IssueTrue,49866,81,2303,2,7,7,7,9,6,10,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,7,8,8,9,8,8,9,9,9,4,5,4,4,4,7,7,6,5,4,4
sf,cvs,qdvdauthor,qdvdauthor/qdvdauthor/qdvdauthor/dialogsetup.cpp,clean,cpp,IssueTrue,49866,81,2303,2,8,7,8,9,5,9,7,7,7,7,8,5,4,4,3,9,9,9,6,6,6,7,8,5,8,7,7,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,6,7,8,3,7,6,8,9,9,7,8,10,10,10,9,10,9,9,9,9
