Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/Action.java,clean,java,IssueTrue,2730,48,651,2,2,2,3,4,5,7,5,4,4,5,5,4,4,4,3,10,10,10,2,1,1,5,5,4,8,8,7,7,5,5,6,5,4,1,1,1,8,8,8,8,9,7,5,6,5,3,6,3,2,3,3,8,7,3,4,4,7,7,8,3,5,6
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/ActionExternal.java,buggy,java,IssueTrue,2730,48,651,2,6,2,7,4,2,9,7,6,6,9,9,7,5,5,4,9,9,9,9,8,7,9,9,7,7,7,7,6,4,4,5,4,4,1,1,1,8,8,8,8,9,7,9,8,7,6,6,4,9,7,6,10,10,6,7,8,9,9,10,6,9,9
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/ActionFactory.java,clean,java,IssueTrue,2730,48,651,2,2,2,3,3,6,8,4,4,3,5,5,4,2,2,2,9,9,9,5,5,4,5,5,4,6,6,6,3,2,2,3,2,2,1,1,1,8,8,8,10,10,8,8,7,5,4,5,3,7,6,3,5,7,4,4,4,9,9,9,8,8,7
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/ActionTranscode.java,buggy,java,IssueTrue,2730,48,651,2,4,2,4,3,4,8,5,5,4,9,9,7,5,5,4,9,9,9,4,3,3,9,9,7,8,8,7,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,8,8,6,6,6,4,6,5,4,9,7,5,5,6,7,7,8,4,6,7
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/DataStore.java,buggy,java,IssueTrue,2730,48,651,2,10,3,10,6,1,9,10,10,9,5,5,4,6,5,4,9,9,9,10,9,9,5,5,4,8,8,7,9,7,7,8,7,7,1,1,1,9,9,9,10,10,10,10,9,10,9,9,8,10,8,9,10,10,10,10,10,9,9,10,9,10,10
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/Field.java,clean,java,IssueTrue,2730,48,651,2,4,4,5,6,6,7,7,6,6,5,5,4,6,5,4,10,10,10,2,2,2,5,5,4,10,9,9,9,7,7,8,7,6,1,1,1,9,9,9,8,9,7,5,7,7,9,9,7,3,7,5,9,7,5,5,6,8,8,8,4,5,7
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldBoolean.java,clean,java,IssueTrue,2730,48,651,2,3,3,4,4,6,7,5,5,4,9,9,7,7,6,5,10,10,10,6,5,5,9,9,7,6,6,6,7,5,5,6,5,4,1,1,1,8,8,8,8,9,7,6,6,6,10,10,7,5,4,4,7,7,8,7,7,5,5,5,5,6,7
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldCategory.java,clean,java,IssueTrue,2730,48,651,2,3,3,3,3,7,9,5,4,4,10,10,8,7,7,6,9,9,9,5,5,4,10,10,8,6,6,6,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,8,7,5,4,5,3,6,5,4,5,7,7,6,6,6,6,6,2,3,3
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldChannelName.java,clean,java,IssueTrue,2730,48,651,2,2,3,3,3,7,7,4,3,3,10,10,8,7,7,6,9,9,9,5,5,4,10,10,8,6,6,6,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,6,6,4,4,5,3,5,4,3,6,7,7,6,6,6,6,7,2,3,4
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldChannelNetwork.java,clean,java,IssueTrue,2730,48,651,2,2,3,3,3,7,7,4,3,3,10,10,8,7,7,6,9,9,9,5,5,4,10,10,8,6,6,6,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,6,6,4,4,5,3,5,4,3,6,7,7,6,6,6,6,7,2,3,4
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldChannelNumber.java,clean,java,IssueTrue,2730,48,651,2,2,3,3,3,7,7,4,3,3,10,10,8,7,7,6,9,9,9,5,5,4,10,10,8,6,6,6,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,6,6,4,4,5,3,5,4,3,6,7,6,6,6,6,6,7,3,5,5
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldDate.java,clean,java,IssueTrue,2730,48,651,2,7,3,8,4,3,9,8,7,7,9,9,7,7,6,5,10,10,10,9,8,8,9,9,7,6,6,6,7,5,5,6,5,4,1,1,1,8,8,8,8,9,7,9,9,8,4,6,4,7,7,5,7,7,9,8,9,5,5,5,8,8,8
sf,cvs,sage-sjq,sage-sjq/sjq/slugger/sagetv/sjq/Attic/FieldDescription.java,clean,java,IssueTrue,2730,48,651,2,2,3,3,3,7,7,4,3,3,10,10,8,7,7,6,9,9,9,5,5,4,10,10,8,6,6,6,5,3,4,4,3,3,1,1,1,8,8,8,8,9,7,6,6,4,4,5,3,5,4,3,6,7,7,6,6,6,6,7,2,3,4
